date,symbol,open,high,low,close,volume,amount,available_at,adjustment
2025-01-02,510300.XSHG,3.90,3.96,3.88,3.94,1000000,3930000,2025-01-02T15:30:00+08:00,hfq
2025-01-02,511010.XSHG,102.10,102.22,102.05,102.18,120000,12258000,2025-01-02T15:30:00+08:00,hfq
2025-01-03,510300.XSHG,3.95,3.99,3.92,3.97,1100000,4360000,2025-01-03T15:30:00+08:00,hfq
2025-01-03,511010.XSHG,102.19,102.28,102.12,102.24,118000,12064000,2025-01-03T15:30:00+08:00,hfq
2025-01-06,510300.XSHG,3.96,4.01,3.94,3.99,980000,3900000,2025-01-06T15:30:00+08:00,hfq
2025-01-06,511010.XSHG,102.25,102.30,102.18,102.26,0,0,2025-01-06T15:30:00+08:00,hfq
2025-01-07,510300.XSHG,3.98,4.00,3.91,3.93,1300000,5140000,2025-01-07T15:30:00+08:00,hfq
2025-01-07,511010.XSHG,102.27,102.36,102.22,102.31,125000,12790000,2025-01-07T15:30:00+08:00,hfq
2025-01-08,510300.XSHG,3.92,3.97,3.89,3.95,1050000,4130000,2025-01-08T15:30:00+08:00,hfq
2025-01-08,511010.XSHG,102.32,102.42,102.28,102.38,121000,12385000,2025-01-08T15:30:00+08:00,hfq
2025-01-09,510300.XSHG,3.96,4.02,3.94,4.00,1250000,4990000,2025-01-09T15:30:00+08:00,hfq
2025-01-09,511010.XSHG,102.39,102.48,102.34,102.44,119000,12190000,2025-01-09T15:30:00+08:00,hfq
